Path, Lv, Rating, Mean, Median, Max
============================
2016_01Summer/Alraune/easy.csv, 4, 9685, 3243, 2934, 22002
2016_01Summer/Alraune/hard.csv, 12, 43048, 19030, 13153, 94370
2016_01Summer/Alraune/normal.csv, 6, 14548, 9495, 7334, 26403
2016_01Summer/Chemical Drink/easy.csv, 2, 2775, 1208, 1150, 5751
2016_01Summer/Chemical Drink/hard.csv, 9, 34242, 15974, 14568, 69775
2016_01Summer/Chemical Drink/normal.csv, 4, 5042, 3605, 2300, 9201
2016_01Summer/Chip Adventures/easy.csv, 2, 1401, 500, 367, 3227
2016_01Summer/Chip Adventures/hard.csv, 7, 18890, 8970, 8365, 38003
2016_01Summer/Chip Adventures/normal.csv, 6, 11164, 6795, 6095, 20077
2016_01Summer/DirectW PoPP/easy.csv, 10, 11204, 6306, 5920, 20741
2016_01Summer/DirectW PoPP/hard.csv, 15, 166337, 94013, 80001, 316667
2016_01Summer/DirectW PoPP/normal.csv, 12, 31521, 22938, 23148, 47222
2016_01Summer/HaPiKoA/easy.csv, 3, 3245, 1805, 1344, 6446
2016_01Summer/HaPiKoA/hard.csv, 7, 29523, 12775, 13179, 60164
2016_01Summer/HaPiKoA/normal.csv, 4, 10153, 4981, 6302, 18247
2016_01Summer/highway/easy.csv, 3, 2179, 1497, 914, 4113
2016_01Summer/highway/hard.csv, 9, 17901, 11802, 10226, 31029
2016_01Summer/highway/normal.csv, 6, 10599, 7999, 9070, 14203
2016_01Summer/IABAY/easy.csv, 4, 4218, 2664, 3066, 6645
2016_01Summer/IABAY/hard.csv, 9, 20177, 13319, 10863, 35719
2016_01Summer/IABAY/normal.csv, 8, 20174, 11342, 10125, 37969
2016_01Summer/MADiX PANIC/easy.csv, 5, 16334, 7735, 8000, 32000
2016_01Summer/MADiX PANIC/hard.csv, 11, 55948, 21923, 20000, 121335
2016_01Summer/MADiX PANIC/normal.csv, 6, 16821, 8618, 8667, 32000
2016_01Summer/Primitive Spread/Easy.csv, 2, 785, 563, 444, 1333
2016_01Summer/Primitive Spread/Hard+.csv, 13, 46868, 30123, 25756, 82957
2016_01Summer/Primitive Spread/Hard.csv, 7, 22896, 7852, 5667, 53333
2016_01Summer/Primitive Spread/Normal.csv, 5, 11179, 5783, 5667, 21333
2016_01Summer/SULTRY GUY/Easy.csv, 2, 2003, 1342, 926, 3706
2016_01Summer/SULTRY GUY/Hard+.csv, 13, 84796, 44224, 43433, 161048
2016_01Summer/SULTRY GUY/Hard.csv, 9, 34120, 19960, 22675, 57314
2016_01Summer/SULTRY GUY/Normal.csv, 5, 11342, 4328, 2952, 25940
2016_01Summer/The Beginning of Autumn/easy.csv, 1, 1086, 620, 642, 1927
2016_01Summer/The Beginning of Autumn/hard+.csv, 11, 21528, 15861, 15242, 32759
2016_01Summer/The Beginning of Autumn/hard.csv, 7, 11195, 7905, 7231, 18075
2016_01Summer/The Beginning of Autumn/normal.csv, 4, 3541, 2149, 1889, 6422
2016_01Summer/The Hounds of Tindalos/Hounds.csv, 11, 44290, 13973, 13496, 101138
2016_01Summer/The Splendid World!!!!/easy.csv, 3, 2296, 1282, 1649, 3760
2016_01Summer/The Splendid World!!!!/hard.csv, 8, 18895, 11735, 9757, 34453
2016_01Summer/The Splendid World!!!!/normal.csv, 6, 7762, 5578, 6047, 11281
2016_01Summer/The tiny star/Easy.csv, 3, 5443, 1619, 783, 13500
2016_01Summer/The tiny star/Hard.csv, 9, 17224, 10224, 10898, 29454
2016_01Summer/The tiny star/Normal.csv, 6, 10601, 6471, 5277, 19636
2016_01Summer/XRT/Easy.csv, 4, 9136, 4705, 2180, 20250
2016_01Summer/XRT/hard.csv, 11, 39021, 28609, 29011, 57900
2016_01Summer/XRT/Normal.csv, 7, 18855, 10199, 7170, 38391
2016_01Summer/きのこ 伸びる ドラムンきのこ/Easy.csv, 4, 5470, 3385, 2700, 10125
2016_01Summer/きのこ 伸びる ドラムンきのこ/Hard.csv, 8, 22586, 10695, 8438, 47250
2016_01Summer/きのこ 伸びる ドラムンきのこ/Normal.csv, 6, 15233, 7606, 6750, 30375
2016_01Summer/ガイトウ/easy.csv, 3, 2050, 1470, 883, 3798
2016_01Summer/ガイトウ/hard.csv, 7, 14072, 9058, 8612, 23893
2016_01Summer/ガイトウ/normal.csv, 4, 6757, 4327, 4239, 11372
2016_01Summer/キラメキ★ガールズ/another.csv, 10, 26811, 18736, 17052, 43731
2016_01Summer/キラメキ★ガールズ/easy.csv, 1, 1583, 602, 462, 3565
2016_01Summer/キラメキ★ガールズ/hard.csv, 7, 21063, 11366, 10616, 39930
2016_01Summer/キラメキ★ガールズ/normal.csv, 3, 6107, 2659, 1574, 13751
2016_01Summer/スターリー スプラッシュ クリスタル/another.csv, 13, 38565, 24094, 23799, 65778
2016_01Summer/スターリー スプラッシュ クリスタル/easy.csv, 2, 965, 658, 444, 1778
2016_01Summer/スターリー スプラッシュ クリスタル/hard.csv, 8, 33133, 9425, 7253, 79645
2016_01Summer/スターリー スプラッシュ クリスタル/normal.csv, 4, 6083, 2644, 2667, 12445
2016_01Summer/ソノ光、鈍サヲ強サニ変エ/Easy.csv, 1, 834, 374, 375, 1688
2016_01Summer/ソノ光、鈍サヲ強サニ変エ/Hard.csv, 11, 34399, 19276, 10950, 72000
2016_01Summer/ソノ光、鈍サヲ強サニ変エ/Normal.csv, 8, 19823, 12961, 13500, 31950
2016_01Summer/ハイパーダーク/easy.csv, 3, 2831, 836, 522, 6896
2016_01Summer/ハイパーダーク/hard+.csv, 10, 46573, 19221, 13036, 104439
2016_01Summer/ハイパーダーク/hard.csv, 7, 42274, 13031, 6156, 104439
2016_01Summer/ハイパーダーク/normal.csv, 4, 8043, 3218, 2544, 17774
2016_01Summer/プラヌラ スキフラ/another.csv, 12, 29519, 21835, 22771, 42719
2016_01Summer/プラヌラ スキフラ/easy.csv, 3, 1644, 1096, 858, 2934
2016_01Summer/プラヌラ スキフラ/hard.csv, 8, 18605, 11528, 11325, 31981
2016_01Summer/プラヌラ スキフラ/normal.csv, 5, 6389, 4220, 4093, 10562
2016_01Summer/夕部屋/BackSounds.csv, 5, 10824, 3986, 1418, 26460
2016_01Summer/夕部屋/Merody.csv, 5, 5771, 4022, 4069, 8967
2016_01Summer/宙　～ソラ～/Easy.csv, 1, 716, 208, 258, 1602
2016_01Summer/宙　～ソラ～/Hard.csv, 4, 6799, 3110, 2394, 14468
2016_01Summer/宙　～ソラ～/Normal.csv, 3, 2166, 938, 641, 4788
2017_01Spring/Academia/easy.csv, 3, 2110, 1238, 1000, 4000
2017_01Spring/Academia/hard+.csv, 11, 34581, 24318, 22754, 55429
2017_01Spring/Academia/hard.csv, 7, 13206, 8412, 7673, 22952
2017_01Spring/Academia/normal.csv, 5, 5684, 4310, 3000, 9733
2017_01Spring/Access & Connect/easy.csv, 2, 1696, 1289, 1249, 2498
2017_01Spring/Access & Connect/hard+.csv, 12, 27231, 18796, 18892, 42786
2017_01Spring/Access & Connect/hard.csv, 8, 19395, 11824, 11542, 33777
2017_01Spring/Access & Connect/normal.csv, 5, 12481, 8577, 7290, 21201
